,Тип,Назначение,Материал,Мотор,Частота переключения,Рабочее напряжение,Шаг регулировки,Ёмкость аккумулятора,Время подзарядки,Время работы,Разъем для зарядки,Ход толкателя,Ход иглы,Длина,Диаметр,Вес,Гарантия,Производитель,Название,Цена,Ссылка,Фотография,Модель,Вольтаж,Ход толкателя (Stroke),Вылет иглы,Время зарядки,Тип аккумулятора,Память,Функция Jump-start,Таймер,Дисплей,Выходное напряжение,Шаг регулировки вольтажа,Емкость аккумулятора,Jump Start,Разъём для подключения,Размер,Производcтво,Назначение машинки,Обороты в минуту,Разъём для зарядки,Размеры с аккумулятором,Размеры с RCA переходником,Производство,Двигатель,Скорость,Рекомендуемое напряжение,Время работы на одном аккумуляторе,Размер машинки без аккумулятора,Размер машинки с аккумулятором,Вес без аккумулятора,Вес с аккумулятором,Частота,SMP,Вес машинки,Вес коробки,Размеры коробки,Подключение,Размеры,Цвет,Ход толкателя регулируемый,Bluetooth,Рабочий вольтаж,Длина хода,Вес батареи,Цвет машинки,Особенность,Jump-Start,Разъем для подключения,Высота,Разъём,Ход бойка,Материал рамы,Ход толкателя (Strokes),Назначения,Рабочая частота удара,Обороты,Диаметр x Длинна,Диаметр x Длина,Соединение,Разъем,Емкость,Модель машины,Потребляемая мощность,Диаметр держателей,Размер коробки,Ход поршня,Рабочая частота,Диаметр держателя,Ход толкателя (Strokes) регулируемый,Диаметр ручки,Длина ручки,Для контурных работ,Для закраса/теней,Крутящий момент,Время полной зарядки,Длина машинки,Размер кейса,Вес кейса,Номинальный крутящий момент,Стартовое напряжение по умолчанию,Количество уровней регулировки вольтажа,Ёмкость аккумуляторов,Вес машинки с батареей,Батареи,Частота удара,Длина машинки с RCA адаптером,Вес машинки с RCA адаптером,Регулировка вольтажа с шагом,Время работы на 1 батарейке,Вес с батарейкой,Время работы на 1 аккумуляторе,Длинна,Строк,Корпус,Покрытие рамы,Модель машинки,Вход для зарядки,Тип батареи,Номинальная емкость аккумулятора,Вес без батарейки,Мощность мотора,"Спроектировано в США.

В комплекте",Система привода,Вылет иглы в зависимости от картриджей,Размер машинки,Регулировка с шагом,Значение в децибелах,Значение вибрации,Размер двигателя,Мощность двигателя,Длина хода (Strokes),Система двойного управления,Ход толкателя Strokes регулируемый,Мощность,Экран,Время работы на аккумуляторе,Регулируемый ход толкателя,Вес вместе с коробкой,Держатели,Привод,Емкость батареек,Тип батарейки,Размер батарейки,Диаметр машинки,Вес машинки с батарейкой,Батарея,Емкость АКБ,Держатель,Ход толкателя регулируемый Strokes,Частота вращения,Макс обороты,Ход толкателя регулируемый (Stroke),Емкость блока питания,Jump-start,Длина с блоком,Длина с RCA,Вес машинки с блоком,Вес машинки с RCA,Напряжение зарядки,Ход толкателя (Stroke) регулируемый,Вес без батарейкой,Уникальность,Ход толкателя регулируемый (Strokes),Мощность Двигателя,Ход толкателя Strokes,Время зарядки от разъема,АКБ,Вес с кейсом,Рама,- Модель,Вес машинки без батарейки,Вес машинки батарейкой,Габариты коробки,Частотный режим,Точечный режим,Вес с держателем 32мм,Вес с держателем 40мм,Xод иглы,Пусковое напряжение,Размер машинки с RCA адаптером,Вес с RCA адаптером,Для контура,Для закраса,Xод толкателя,Разъём подключения,Ход,Рекомендованный рабочий вольтаж,Память режимов,Ход толкателя (строк),Ёмкость аккумуляторов машинки,Ёмкость аккумулятора педали,Время работы максимум (при 5В),Время работы минимум (при 11В),Длина машины вместе с аккумулятором,Особенности,Диапазон игл,Рекомендуемый вольтаж,Размеры машинки,Длина с RCA переходником,Вес с блоком,Вес с RCA переходником,Диаметр в нижней части,Диаметр в верхней части,Длина машинки с блоком,Ход толкателя Stroke,Входное напряжение,Режим зарядки,Цикл полной зарядки,Частота вращения двигателя,Напряжение батареи,Вес с аккумулятором,Об/мин,Частота переключателя,Шаг регулировки переключаемый,"минимальная вибрация.

Основные особенности",Шаг,Регулируемый ход игл,Короткий ход,Выходная мощность,Общее время работы,Длина (без картриджа),Диаметр корпуса,Вес (без держателя),Вес с держателем (PMU),Разъем для зарядки,Регулировка частоты ударов,Ёмкость аккумулятора машинки,Ход толкатея,Габариты,Вес машинки с аккумулятором,Ёмкость съёмных аккумуляторов по,Длинна с аккумулятором,Длинна с разъёмом RCA,Диаметр в нижней части ручки,Вес с разъёмом RCA,Размер коробкм,Длинна с переходником RCA,Длина с переходником RCA,Длина с аккумулятором,Вес машинки с держателем,Сменные эксцентрики с ходом,Moтор,Об / мин,Выступ иглы,Емкость батареи,Рабочее время Powerpack,Гарантия на блок питания,В комплекте,Вывод,Размеры (Ø х L),Время заряда батареи,Вес (с блоком питания),Время работы блока питания,Ручка,Она универсальна,К машинке подойдут держатели,Тип подключения,Рекомендуемое рабочее напряжение,Максимальное напряжение,Вес всего комплекта,Частота Переключения,Кол-во оборотов,Размеры (Ø X L),Время работы Powerpack,Размеры(Ø X L),Тип машинки,"Длина хода, мм","Диаметр, мм","Размер, мм","Мощность двигателя, В",Оборотов в минуту,"Децибелы, дБ","Величина вибрации, м/с²","Рабочий вольтаж, В","Регулировка вольтажа, В","Емкость аккумулятора, мАч","Время работы, часов","Время зарядки, часов","Вес, г","Вес с аккумулятором, г",Питание,Провод для зарядки в комплекте,RCA переходник,"Частота переключения, Гц","Регулировка хода иглы, мм",Процент зарядки,Показание вольтажа,Сетевой шнур в комплекте,"Сила тока, А",Времени работы,Комплектация,Функция памяти,Start UP,"Рекомендуемый вольтаж, В",Авто выключение,Push Mode,"Мощность, В","Напряжение зарядки, В",source
10,Роторная беспроводная,Тату и перманентный макияж,Авиационный алюминий,Mast Special Edition Mcore-P 10000 об/мин,от 3 до 90 Hz,,"0,1V",,"3,5 часа",до 6 часов,USB Type—C,,,146 мм,26 мм,126 г,6 месяцев,DragonHawk - MAST,Беспроводная тату машинка MAST Tour Y22 Pro Wireless Bluetooth Verison Black,11550,https://tatu-shop.ru/products/tour-y22-pro-black,https://i.siteapi.org/dtMQN5C0YarMBi5QAL60eM3Tq5g=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/98kc65ku9ssg08g8kcgkcgs840kcws,MAST Tour Y22 Pro,2-12V,3,"0-3,5 мм",,,,,Да,Цветной OLED экран,,,1300 mA/ч,,,,,,,,,,,,,,,,,,,,,,335 гр,195 x 100 x 45 мм,,,,,Да,,,,,Два режима (Обычный режим и Частотный режим SMP),Да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
11,Роторная,Универсальная,авиационный алюминий,Тайвань (Premium Motor),,5 - 12 V 10000 об/мин,,,,,,"3,5 мм","до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,138 гр,,,Роторная тату машинка DragoArt Blade Gen II Silver,2990,https://tatu-shop.ru/products/blade-gen-ii-silver,https://i.siteapi.org/bKXB9U5P7kaiNfFwFpm3uW0o-1M=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/7v4i7jw8gu4gsc4w0o8c0og4s888sg,DragoArt Blade Gen II,,,,,,,,,,,,,,,,DragoArt Tattoo,,,,,,,,,,,,,,,,,,,,разъем DC,25 x 115 мм,Серебристый,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
12,Роторная беспроводная,,Авиационный алюминий,Brush Coreless Motor 12V/11000 об,,,"0,1V",1800 mA/ч,2 часа,до 8 часов,,"3,5 мм",,136 мм,24 мм,142 г,,Yilong Tattoo,Беспроводная тату машинка Yilong Y15 Battery Tattoo Pen Coral Red,6990,https://tatu-shop.ru/products/yilong-y-15-coral-red,https://i.siteapi.org/PmDnkqokSOakgQG717V6wDxTvs8=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/5352jrb83ag48888gkkwoko8oc4gk4,Yilong Y15,4-12V,,0-4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
13,,,авиационный алюминий,5 Ватт 8V - 11000 об/мин,,от 6 до 8,,,,,,3,до 4 мм (регулировка вылета осуществляется выкручиванием держателя),,32 мм,150 г,6 месяцев,,Роторная тату машинка Mast FLEX WQ386,6430,https://tatu-shop.ru/products/mast--flex-wq386,https://i.siteapi.org/Ue34xfefeEtCRtmKyDBLvQc3I8w=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/o7ipyut176880o8ggkcsgo0gkssskw,,,,,,,,,,,,,,,,,DragonHawk,,,,,,,,,,,,,,,,,,,,,,Черно-красный,,,,,,,,,RCA,95 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
14,Роторная беспроводная,Универсальная,авиационный алюминий,Бесщëточный двигатель 11000 об/мин,,,"0,1V или 0,5V",2000 mA/ч,,6-10 часов,USB Type—C,4,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",130 мм,38 мм,229 г,,Yilong Tattoo,Беспроводная тату машинка Yilong Max Pro Gold,8560,https://tatu-shop.ru/products/yilong-max-pro--gold,https://i.siteapi.org/km8r3MDNhbFmJ6EhjQKC32WdYJY=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/9np0rvsbn3swwg88wksw8k4kwko8sk,,4-12 V,,,2 часа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
15,беспроводная роторная машинка,Универсальная,Авиационный алюминий,,,,"0,1V",500 mA/ч,,до 4 часов,USB Type—C,,от 0 до 4,133 мм,20 мм,,,,Беспроводная машинка для тату и татуажа Cobra Magi P9 Multi-Mode Stroke 3.0mm X 2Power Blue,9990,https://tatu-shop.ru/products/magi-p9-2power-blue,https://i.siteapi.org/AvNFbmXKcJOifKeT8d-iugemvhc=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/fv3w8s6ccbsoo8kg4s0wc008ow48ww,Cobra Magi P9 Multi-Mode,2,3,,1 час,полимерно-литиевый,5 режимом памяти,,Да,Цветной OLED,,,,,,,,,,,,,Cobra Tattoo,Бесщеточный двигатель 10000 об/мин,,,,,,,,26-135 HZ,Да,82 гр,200 гр,165x80x30 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
16,ПЭН,Универсальная,,Тайвань,,,,,,,,,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,32 мм,120 г,,,Роторная тату машинка Dragon Small-L5,2990,https://tatu-shop.ru/products/small-l--5,https://i.siteapi.org/D0_-pW_LIJWCwVHYX1Jc-nWZu_4=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/jqyelzle01cok0swcwcwowwg0kw0k8,,,,,,,,,,,,,,,,,,,,,,,Solong Tattoo,,,,,,,,,,,,,,,,,,,6-9 V,,,,,,,90 мм,RCA,3,Авиационный алюминий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
17,Роторная беспроводная,,Авиационный алюминий,Brushless Motor M-core - Бесщеточный двигатель 12V/10000 об/мин,,,"0,1V",,"1,5 часа",до 8 часов,,,,147 мм,33 мм,,6 месяцев,,Беспроводная тату машинка MAST Archer 2 Max Bluetooth Version Grey,9950,https://tatu-shop.ru/products/archer-2-max-bluetooth-grey,https://i.siteapi.org/U6ImFy1aAlKLNge6QyMMlOUgyZY=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/c43l406fxa80k04kwwc8s4o0oswgg8,MAST Archer 2 Max Bluetooth Version,4-12V,,"от 0 до 4,5 мм",,,,,Да,Цветной OLED Digital Display,,,2000 mA/ч,,,,,Универсальная,,USB Type—C,,,MAST (DragonHawk),,,,,,,,,,,210 г,690 гр,260 x 130 x 75 мм,,,,,Да,,,,,Несколько цветовых режимов подсветки,,,,,,,"3,5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
18,Роторная,,авиационный алюминий,Тайвань,,6 - 9 V,,,,,,3,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,138 гр,,,Роторная тату машинка Pen Cobra Cometa Black,3195,https://tatu-shop.ru/products/pen-cobra-cometa-black,https://i.siteapi.org/kZ1ecs-NG7JqUt1LCHR7b7TuZrk=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/33srdw8rlxescgwk0000000k4gck0s,,,,,,,,,,,,,,,,,,,,,,,Cobra Tattoo,,,,,,,,,,,,,,,,Чёрный,,,,,,,,,,,RCA,,,,для тату и татуажа,55 - 165 Hz,9V-10000 rpm,25 x 117 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
19,,,,,,,,,,,,,,,,,,,Роторная тату машинка Rocket Mini Pen & Wireless Battery red,5690,https://tatu-shop.ru/products/rocket-mini-wireless-battery-red,https://i.siteapi.org/HTkk_Gx3Um6D6x4FRfY8r-_4kTk=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/htm1vazfz6048wsg40c4sgsscw8g0w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
20,Роторная,Универсальная,авиационный алюминий,Coreless Motor - 12В / 9000 об/мин,,,,,,,,"3,5 мм","до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,159 г,6 месяцев,EZ Tattoo,Роторная тату машинка EZ Avant Flex Soft Hard red,7350,https://tatu-shop.ru/products/ez-avant-flex-soft-hard-red,https://i.siteapi.org/WiD8WVQLyrFhjSvyLWBEpipuPB8=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/2ycsmdaei4sgow0go4c4ss448ksw4k,,,,,,,,,,,,,,,,,,,,,,,,,,5-12 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 x 115 мм,RCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
21,,,авиационный алюминий,Япония 10000 об/мин,,5-8 V,,,,,,,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,50 г,,,Роторная тату машинка NB Needle Bee Wireless RTM-1003 black,3490,https://tatu-shop.ru/products/dragonhawk-needle-bee-wireless-black,https://i.siteapi.org/bL0fybOgYZQ2AMvWtC-SRGXKLIM=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/da04pk6dkw0080scgogsk0wwkswgk4,,,,,,,,,,,от 4 до 11 В,,,,,34 х 33 х 39 мм,,,,,,,NB Needle Bee Tattoo,,,,,,,,,,,,,,RCA,25 x 120 мм,черный,,,,,,,,,,,,"3,5 мм",,,,,,,,,RCA,1950 мАч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
22,Роторная беспроводная,для татуажи и мини тату,авиационный алюминий,AVA motor - 9000 об/мин,,,"при коротком нажатии 0,1V при длительном нажатии 1V",700 мАч,,3-7 часов,,,"до 3,5 мм (регулировка вылета осуществляется выкручиванием держателя)",145 мм,,,6 месяцев,,Беспроводная машинка для татуажа AVA Soulnova Flora E5 PMU Stroke 2.0-3.2mm Black,15380,https://tatu-shop.ru/products/soulnova-flora-e5-black,https://i.siteapi.org/NOQppqQBYjfmJ9hXhX6MfUjkOLU=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/p9p6vl104q8s448k8wcgcw8gkcc4s8,,"4,5-12 V",,,2 часа,,,,,Цветной OLED экран,,,,,,,AVA TATTOO MACHINE,,,,,,,,,,,,,,,,,111 г,413 г,,,,,от 2,,,,,,,,,,,,,,,,,,,,,,AVA Soulnova Flora E5 PMU,5W,20 мм,185 x 155 x 70 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
23,,,Алюминий,Mast Special Edition Coreless Motor 9V/10400 об,,,"0,1V",750 mA/ч,1 час,до 3 часов,USB Type—C,4 мм,,138 мм,23 мм,115 г,6 месяцев,DragonHawk,Беспроводная тату машинка - MAST Amy With 4MM Stroke Red,13990,https://tatu-shop.ru/products/mast-amy-4-stroke-red,https://i.siteapi.org/ZBvdQ9rDx70ExBOMpCnZd1vKYa0=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/q3cdbgji3nk0gk088kg48o0k480cko,MAST Amy,4-12V,,0-4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
24,,,,Япония 8V-9000 об/мин,,,,,,,,,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,130 гр,6 месяцев,DragonHawk,Роторная тату машинка EGO Switch Black,6930,https://tatu-shop.ru/products/ego-switch--black,https://i.siteapi.org/KtoRO4X0Oy89NxbYx1qzQry83aY=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/sjp6pdanbr44wsokg4cksco400g8wc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Чёрный,,,,,,,,,,,,,,,,,,30 x 125 мм,,RCA,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
25,Беспроводная роторная,Универсальная,Авиационный алюминий с защитным покрытием,DC Swiss Motor - 11000 об/мин,,,"0,1V",1620 mA/ч,,до 7 часов,USB Type—C,,,111 мм,34 мм,166 г,6 месяцев,Hummingbird BRONC,Беспроводная тату машинка BRONC SHORT-X Wireless Pen Blue,10580,https://tatu-shop.ru/products/short-x-blue,https://i.siteapi.org/sCP47LVFUb18tPtHJngP24lfZDc=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/mtx4knebkf4gss4g4kkgsk44scs0os,BRONC SHORT-X,4-12 V,4,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",2 часа,полимерно-литиевый,2 режима (Liner и Shader),да,Да,OLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
26,Роторная беспроводная,Универсальная,авиационный алюминий с защитным покрытием,,,,"0,1V",1000 mA/ч,,до 5 часов,USB Type—C,,,128 мм,,176 г / 196 г (с блоком и без),6 месяцев,,Роторная беспроводная тату машинка EZ Portex Gen2 Versatile 2 Power Red,13340,https://tatu-shop.ru/products/ez-gen2-2power--red,https://i.siteapi.org/8lVA4Vql_8iOuyl8Lc6va0jqyEI=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/py6kcik531w8s4044okgsc8c0sssws,EZ Portex Gen2 Versatile,5-12 V,,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",2 часа,Полимерно-литиевый,,,,,,,,,,,,,,,,,EZ Tattoo,EZ Customized Swiss Motor,,,,,,,,,,,,,,,,,,,"3,5 мм",,,,,,,,,,,,,9000 об/мин ± 10%,,,,,,,,,,,от 60 до 160 Гц,28 мм / 32 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
27,Роторная беспроводная,Универсальная,Авиационный алюминий с защитным покрытием,Powerful Motor MCORE 8V / 6500 об/мин,,,"0,1V",2000 mA/ч,,до 7 часов,USB Type—C,,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",141 мм,32 мм,222 г,6 месяцев,MAST - DragonHawk,Беспроводная тату машинка Dragonhawk L3 Wireless Tattoo Gun 7 Strokes Red,13700,https://tatu-shop.ru/products/tattoo-machine-dragonhawk-l3-red,https://i.siteapi.org/im-35HzGfnoJSupFTpy_Gkpp7TU=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/jp8vycbend44s484wg8kkoc00okcgs,Dragonhawk L3,4-12 V,,,2 часа,,Есть,,,Цветной OLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,4/2,7/3,0/3,3/3,6/3,9/4,2 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
